name,smiles,logS,mw_ref
5-Allyl-5-phenylbarbital,O=C1NC(=O)NC(=O)C1(CC=C)c1ccccc1,-2.369,244.25
Pentyl propanoate,CCCCC(=O)OCC,-2.25,130.18699999999998
Isopentyl acetate,CC(C)CCOC(=O)C,-1.92,130.18699999999998
3-Hexanoyloxymethylphenyltoin,O=C1N(COC(=O)CCCCC)C(=O)C(N1)(c2ccccc2)c3ccccc3,-5.886,380.444
"2,3',5-PCB",Clc1cccc(c1)c2cc(Cl)ccc2Cl,-6.01,257.547
1-Bromopropane,CCCBr,-1.73,122.993
Propiconazole,CCCC1COC(Cn2cncn2)(O1)c3ccc(Cl)cc3Cl,-3.4930000000000003,342.2260000000001
Formothion,COP(=S)(OC)SCC(=O)N(C)C=O,-1.995,257.27299999999997
4-methylpteridine,Cc1ncnc2nccnc12,-0.466,146.15299999999996
Thiourea,NC(=S)N,0.32,76.12400000000001
p-Xylene,Cc1ccc(C)cc1,-2.77,106.16799999999999
"1,2-Diethylbenzene",CCc1ccccc1CC,-3.28,134.22199999999998
Hexachloroethane,ClC(Cl)(Cl)C(Cl)(Cl)Cl,-3.67,236.74
Flucythrinate,CC(C)C(C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1)c3ccc(OC(F)F)cc3,-6.876,451.46900000000005
1-Nitropropane,CCCN(=O)=O,-0.8,89.09399999999998
Menthone,CC(C)C1CCC(C)CC1=O,-2.35,154.253
RTI 24,CCN2c1cc(Cl)ccc1NC(=O)c3cccnc23,-5.36,273.723
"2,3-Dichloronitrobenzene",O=N(=O)c1c(Cl)c(Cl)ccc1,-3.48,192.00100000000003
thiamylal,CCCC(C)C1(CC=C)C(=O)NC(=S)NC1=O,-3.46,254.35500000000002
Fluoranthene,c1ccc2c(c1)c3cccc4cccc2c34,-6.0,202.25599999999997
Propylisopropylether,CCCOC(C)C,-1.34,102.17699999999998
"1,3-Dimethylnaphthalene",Cc1cc(C)c2ccccc2c1,-4.29,156.22799999999998
diethylstilbestrol,CCC(=C(CC)c1ccc(O)cc1)c2ccc(O)cc2,-4.07,268.356
Chlorothalonil,c1(C#N)c(Cl)c(C#N)c(Cl)c(Cl)c(Cl)1,-5.64,265.914
"2,3',4',5-PCB",Clc1ccc(Cl)c(c1)c2ccc(Cl)c(Cl)c2,-7.25,291.992
styrene oxide,C1OC1c2ccccc2,-1.6,120.15099999999995
Isopropylbenzene,CC(C)c1ccccc1,-3.27,120.19499999999995
Deoxycorticosterone,CC12CCC3C(CCC4=CC(=O)CCC34C)C2CCC1C(=O)CO,-3.45,330.4680000000001
chlorquinox,c2(Cl)c(Cl)c(Cl)c1nccnc1c2(Cl),-5.43,267.93
L-arabinose,C1OC(O)C(O)C(O)C1O,0.39,150.13
Dichloromethane,ClCCl,-0.63,84.93299999999999
1-Ethylnaphthalene,CCc1cccc2ccccc12,-4.17,156.22799999999998
Methyl formate,COC=O,0.58,60.05200000000001
o-Nitrophenol,Oc1ccccc1N(=O)=O,-1.74,139.10999999999999
thymine,Cc1c[nH]c(=O)[nH]c1=O,-1.506,126.115
2-Methylpropane,CC(C)C,-2.55,58.123999999999995
Inosine,OCC1OC(C(O)C1O)n2cnc3c(O)ncnc23,-1.23,268.22900000000004
Ioxynil,Oc1c(I)cc(C#N)cc1I,-3.61,370.91499999999996
Niclosamide,Oc1ccc(Cl)cc1C(=O)Nc2ccc(cc2Cl)N(=O)=O,-4.7,327.1230000000001
Pentane,CCCCC,-3.18,72.151
Phenol,c1ccccc1O,0.0,94.11299999999999
2-aminoanthracene,Nc3ccc2cc1ccccc1cc2c3,-5.17,193.249
theobromine,Cn1cnc2n(C)c(=O)[nH]c(=O)c12,-2.523,180.16699999999997
Isoquinoline,c1ccc2cnccc2c1,-1.45,129.16199999999998
Anilofos,COP(=S)(OC)SCC(=O)N(C(C)C)c1ccc(Cl)cc1,-4.4319999999999995,367.86
Hexylbenzene,CCCCCCc1ccccc1,-5.21,162.276
2-Chlorobiphenyl,Clc1ccccc1c2ccccc2,-4.54,188.657
2-Methyl-1-Pentene,CCCC(=C)C,-3.03,84.16199999999999
"2,3,4-Trimethylpentane",CC(C)C(C)C(C)C,-4.8,114.23199999999999
Pentachlorobenzene,Clc1cc(Cl)c(Cl)c(Cl)c1Cl,-5.65,250.339
m-Nitrophenol,Oc1cccc(c1)N(=O)=O,-1.01,139.10999999999999
1-Decene,CCCCCCCCC=C,-5.51,140.26999999999998
Glyceryl triacetate,CC(=O)OCC(COC(=O)C)OC(=O)C,-0.6,218.20499999999998
dimethirimol,CCCCc1c(C)nc(nc1O)N(C)C,-2.24,209.29299999999998
Cyfluthrin,CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c2ccc(F)c(Oc3ccccc3)c2,-7.337000000000001,434.29400000000015
Pyridine,c1ccncc1,0.76,79.10199999999998
1-Bromoheptane,CCCCCCCBr,-4.43,179.101
"3,4-Dimethylpyridine",Cc1ccncc1C,0.36,107.15599999999999
Fludrocortisone,CC34CC(O)C1(F)C(CCC2=CC(=O)CCC12C)C3CCC4(O)C(=O)CO,-3.43,380.45600000000013
ethiofencarb,CCSCc1ccccc1OC(=O)NC,-2.09,225.313
Malonic acid diethylester,CCOC(=O)CC(=O)OCC,-0.82,160.16899999999998
d-Limonene,CC1=CCC(CC1)C(C)=C,-4.26,136.238
Indan,C1Cc2ccccc2C1,-3.04,118.17899999999997
p-t-Butylphenol,CC(C)(C)c1ccc(O)cc1,-2.41,150.22099999999998
Cyclopropyl-5-spirobarbituric acid,O=C2NC(=O)C1(CC1)C(=O)N2,-1.886,154.125
m-Chloroiodobenzene,Clc1cccc(I)c1,-3.55,238.45499999999998
1-Bromonapthalene,Brc1cccc2ccccc12,-4.35,207.07
trans-2-Pentene,CC/C=C/C,-2.54,70.135
"2,6-Dimethylpyridine",Cc1cccc(C)n1,0.45,107.156
Trichloroethylene,ClC=C(Cl)Cl,-1.96,131.389
1-Napthylamine,Nc1cccc2ccccc12,-1.92,143.189
m-Xylene,Cc1cccc(C)c1,-2.82,106.16799999999999
2-hydroxypteridine,Oc2ncc1nccnc1n2,-1.9469999999999998,148.125
Methanol,CO,1.57,32.042
Amobarbital,CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,-2.468,226.27599999999998
2-Butanone,CCC(=O)C,0.52,72.107
5-fluorouracil,Fc1c[nH]c(=O)[nH]c1=O,-1.077,130.078
tubercidin,Nc1ncnc2n(ccc12)C3OC(CO)C(O)C3O,-1.95,266.257
"1,3-Benzenediol",Oc1cccc(O)c1,0.81,110.11199999999998
1-Hexanol,CCCCCCO,-1.24,102.17699999999999
1-Chloropentane,CCCCCCl,-2.73,106.596
"1,3-Butadiene",C=CC=C,-1.87,54.09199999999999
Propyl acetate,CCCOC(=O)C,-0.72,102.13299999999998
"5,6,7,8-tetrahydro-2-naphthol",Oc2ccc1CCCCc1c2,-1.99,148.205
chloroacetamide,NC(=O)CCl,-0.02,93.513
Iodofenphos,COP(=S)(OC)Oc1cc(Cl)c(I)cc1Cl,-6.62,413.0
4-Chlorotoluene,Cc1ccc(Cl)cc1,-3.08,126.586
Metribuzin,CSc1nnc(c(=O)n1N)C(C)(C)C,-2.253,214.29399999999998
Tricresyl phosphate,Cc1ccc(OP(=O)(Oc2cccc(C)c2)Oc3ccccc3C)cc1,-6.01,368.3690000000001
Caproaldehyde,CCCCCC=O,-1.3,100.16099999999999
Butamben,CCCCOC(=O)c1ccc(N)cc1,-3.082,193.24599999999998
RTI 3,O2c1cc(C)ccc1N(C)C(=O)c3cc(N)cnc23,-3.043,255.277
Nerol,CC(C)=CCC/C(C)=C\CO,-2.46,154.253
"2,4'-PCB",Clc1ccc(cc1)c2ccccc2Cl,-5.28,223.102
3-Octanoyloxymethylphenytoin,O=C1N(COC(=O)CCCCCCC)C(=O)C(N1)(c2ccccc2)c3ccccc3,-6.523,408.498
Nitroethane,CCN(=O)=O,-0.22,75.067
Ethalfluralin,CCN(CC(C)=C)c1c(cc(cc1N(=O)=O)C(F)(F)F)N(=O)=O,-6.124,333.266
"1,2,3,4-Tetrachlorobenzene",Clc1ccc(Cl)c(Cl)c1Cl,-4.57,215.894
Meprobamate,CCCC(C)(COC(N)=O)COC(N)=O,-1.807,218.25299999999996
pregnenolone,CC(=O)C3CCC4C2CC=C1CC(O)CCC1(C)C2CCC34C,-4.65,316.48500000000007
Iodomethane,CI,-1.0,141.939
cycloheximide,CC1CC(C)C(=O)C(C1)C(O)CC2CC(=O)NC(=O)C2,-1.13,281.35200000000003
3-Heptanoyloxymethylphenytoin,O=C1N(COC(=O)CCCCCC)C(=O)C(N1)(c2ccccc2)c3ccccc3,-6.301,394.471
isophorone,CC1=CC(=O)CC(C)(C)C1,-1.06,138.20999999999998
Butabarbital,O=C1NC(=O)NC(=O)C1(CC)C(C)CC,-2.39,212.24899999999997
5-Nonanone,CCCCC(=O)CCCC,-2.58,142.242
Glutethimide,CCC1(CCC(=O)NC1=O)c2ccccc2,-2.3369999999999997,217.268
3-Methylpentane,CCC(C)CC,-3.68,86.178
Etofenprox,CCOc1ccc(cc1)C(C)(C)COCc3cccc(Oc2ccccc2)c3,-8.6,376.49600000000004
Methaqualone,Cc1ccccc1n3c(C)nc2ccccc2c3=O,-2.925,250.30100000000002
Chloroacetonitrile,ClCC#N,-0.092,75.498
Trichloronate,CCOP(=S)(CC)Oc1cc(Cl)c(Cl)cc1Cl,-5.752000000000001,333.60400000000004
Ethisterone,CC12CCC(=O)C=C1CCC3C2CCC4(C)C3CCC4(O)C#C,-5.66,312.45300000000003
Pyridazine,c1ccnnc1,1.1,80.08999999999999
"1,2,3,5-Tetrachlorobenzene",Clc1cc(Cl)c(Cl)c(Cl)c1,-4.63,215.894
Diosgenin,C1C(O)CCC2(C)CC3CCC4(C)C5(C)CC6OCC(C)CC6OC5CC4C3C=C21,-7.32,414.63000000000017
o-Aminophenol,Nc1ccccc1O,-0.72,109.12799999999999
Ethyl nonanoate,CCCCCCCCC(=O)OCC,-3.8,186.295
metalaxyl,COCC(=O)N(C(C)C(=O)OC)c1c(C)cccc1C,-1.601,279.336
Propoxur,CNC(=O)Oc1ccccc1OC(C)C,-2.05,209.24499999999998
2-Chlorobutane,CCC(C)Cl,-1.96,92.569
2-Napthol,Oc1ccc2ccccc2c1,-2.28,144.17299999999997
Oxadiazon,CC(C)Oc1cc(c(Cl)cc1Cl)n2nc(oc2=O)C(C)(C)C,-5.696000000000001,345.22600000000017
1-Hexyne,CCCCC#C,-2.36,82.14599999999999
1-Nonyne,CCCCCCCC#C,-4.24,124.22699999999999
2-Chlorotoluene,Cc1ccccc1Cl,-3.52,126.586
Diisopropyl ether,CC(C)OC(C)C,-1.1,102.17699999999999
Dapsone,Nc1ccc(cc1)S(=O)(=O)c2ccc(N)cc2,-3.094,248.307
Methyl hydrazine,CNN,1.34,46.073
Propyne,CC#C,-0.41,40.065000000000005
Phoxim,CCOP(=S)(OCC)ON=C(C#N)c1ccccc1,-4.862,298.304
Propetamphos,CCNP(=S)(OC)OC(=CC(=O)OC(C)C)C,-3.408,281.314
Acrolein,C=CC=O,0.57,56.064
Hypoxanthine,O=c1[nH]cnc2nc[nH]c12,-2.296,136.114
6-hydroxyquinoline,Oc2ccc1ncccc1c2,-2.16,145.161
Fluorobenzene,Fc1ccccc1,-1.8,96.10399999999998
1-Chloropropane,CCCCl,-1.47,78.542
Ethyl acetate,CCOC(=O)C,-0.04,88.106
"2,2-Dimethylpentane",CCCC(C)(C)C,-4.36,100.20499999999998
Pentamethylbenzene,Cc1cc(C)c(C)c(C)c1C,-4.0,148.249
eucalyptol,CC12CCC(CC1)C(C)(C)O2,-1.64,154.253
dibutyl sebacate,CCCCOC(=O)CCCCCCCCC(=O)OCCCC,-3.8960000000000004,314.46600000000007
"4,4'-PCB",Clc1ccc(cc1)c2ccc(Cl)cc2,-6.56,223.102
"2,3-Dimethylpyridine",Cc1cccnc1C,0.38,107.156
Carvone,CC(=C)C1CC=C(C)C(=O)C1,-2.06,150.22099999999998
Carbophenthion,CCOP(=S)(OCC)SCSc1ccc(Cl)cc1,-5.736000000000001,342.875
"Etoposide (148-167,25mg/ml)",COc1cc(cc(OC)c1O)C6C2C(COC2=O)C(OC4OC3COC(C)OC3C(O)C4O)c7cc5OCOc5cc67,-3.571,588.5620000000001
Perylene,c1cc2cccc3c4cccc5cccc(c(c1)c23)c54,-8.804,252.31599999999997
"2,4-Dinitrotoluene",Cc1ccc(cc1N(=O)=O)N(=O)=O,-2.82,182.135
2-bromonaphthalene,c1c(Br)ccc2ccccc12,-4.4,207.07000000000002
Formetanate,CNC(=O)Oc1cccc(N=CN(C)C)c1,-2.34,221.26
6-methoxypteridine,COc2cnc1ncncc1n2,-1.139,162.15200000000002
nevirapine,Cc3ccnc4N(C1CC1)c2ncccc2C(=O)Nc34,-3.19,266.30400000000003
Isazofos,CCOP(=S)(OCC)Oc1nc(Cl)n(n1)C(C)C,-3.658,313.747
"2-Methyl-1,3-Butadiene",CC(=C)C=C,-2.03,68.11900000000001
linalool,CC(C)=CCCC(O)(C)C=C,-1.99,154.253
Fenthion,COP(=S)(OC)Oc1ccc(SC)c(C)c1,-4.57,278.335
Cyclohexanol,OC1CCCCC1,-0.44,100.161
5-Allyl-5-methylbarbital,O=C1NC(=O)NC(=O)C1(C)CC=C,-1.16,182.17899999999997
Epiandrosterone,CC34CCC1C(CCC2CC(O)CCC12C)C3CCC4=O,-4.16,290.447
mannitol,OCC(O)C(O)C(O)C(O)CO,0.06,182.172
4-Methylbiphenyl,Cc1ccc(cc1)c2ccccc2,-4.62,168.239
Atrazine,CCNc1nc(Cl)nc(NC(C)C)n1,-3.85,215.68800000000002
Phenylthiourea,NC(=S)Nc1ccccc1,-1.77,152.22199999999998
4-Heptanone,CCCC(=O)CCC,-1.3,114.18799999999999
"3,3-Dimethyl-2-butanone",CC(=O)C(C)(C)C,-0.72,100.16099999999999
4-Chlorophenol,Oc1ccc(Cl)cc1,-0.7,128.558
Cyclohexanone,O=C1CCCCC1,-0.6,98.14500000000001
m-Methylaniline,Cc1cccc(N)c1,-0.85,107.156
Trichloroacetonitrile,ClC(Cl)(Cl)C#N,-2.168,144.388
norflurazon,CNc2cnn(c1cccc(c1)C(F)(F)F)c(=O)c2Cl,-4.046,303.67100000000005
2-Decanone,CCCCCCCCC(=O)C,-3.3,156.269
Ipazine,CCN(CC)c1nc(Cl)nc(NC(C)C)n1,-3.785,243.74200000000002
Benzocaine,CCOC(=O)c1ccc(N)cc1,-2.616,165.19199999999998
"1,2,4-Trichlorobenzene",Clc1ccc(Cl)c(Cl)c1,-3.59,181.449
Triazolam,Cc3nnc4CN=C(c1ccccc1Cl)c2cc(Cl)ccc2n34,-4.09,343.2170000000001
"1,2-Benzenediol",Oc1ccccc1O,0.62,110.11199999999998
Reverse Transcriptase inhibitor 1,CCN2c1ncccc1N(C)C(=O)c3cccnc23,-2.62,254.29299999999998
Dimethyl sulfide,CSC,-0.45,62.137
2-Bromotoluene,Cc1ccccc1Br,-2.23,171.03699999999998
O-Ethyl carbamate,CCOC(=O)N,0.85,89.09400000000001
megestrol acetate,CC(=O)OC3(CCC4C2C=C(C)C1=CC(=O)CCC1(C)C2CCC34C)C(C)=O,-5.35,384.5160000000002
"2,4-Dimethyl-3-pentanol",CC(C)C(O)C(C)C,-1.22,116.20399999999998
Napthalene,c1ccc2ccccc2c1,-3.6,128.17399999999995
N-Ethylaniline,CCNc1ccccc1,-1.7,121.18299999999995
Phenytoin,O=C1NC(=O)C(N1)(c2ccccc2)c3ccccc3,-4.0969999999999995,252.27300000000002
"7,12-Dimethylbenz(a)anthracene",Cc1c2ccccc2c(C)c3ccc4ccccc4c13,-7.02,256.348
Dialifor,CCOP(=S)(OCC)SC(CCl)N1C(=O)c2ccccc2C1=O,-6.34,393.85400000000016
Methoxychlor,COc1ccc(cc1)C(c2ccc(OC)cc2)C(Cl)(Cl)Cl,-6.89,345.6529999999999
TEFLUBENZURON,Fc1cccc(F)c1C(=O)NC(=O)Nc2cc(Cl)c(F)c(Cl)c2F,-7.28,381.1120000000001
3-Pentanoyloxymethylphenytoin,O=C1N(COC(=O)CCCC)C(=O)C(N1)(c2ccccc2)c3ccccc3,-4.678,366.41700000000003
Monuron,CN(C)C(=O)Nc1ccc(Cl)cc1,-2.89,198.653
Flutriafol,OC(Cn1cncn1)(c2ccc(F)cc2)c3ccccc3F,-3.37,301.296
triamcinolone diacetate,CC(=O)OCC(=O)C3(O)C(CC4C2CCC1=CC(=O)C=CC1(C)C2(F)C(O)CC34C)OC(C)=O,-4.13,478.51300000000026
1-Bromobutane,CCCCBr,-2.37,137.01999999999998
"1,2,4,5-Tetrabromobenzene",Brc1cc(Br)c(Br)cc1Br,-6.98,393.69800000000004
4-Methyl-2-pentanone,CC(C)CC(=O)C,-0.74,100.16099999999999
cycloate,CCSC(=O)N(CC)C1CCCCC1,-3.4,215.36199999999994
4-Chloroanisole,COc1ccc(Cl)cc1,-2.78,142.585
Deltamethrin,CC1(C)C(C=C(Br)Br)C1C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2,-8.402000000000001,505.20600000000024
Talbutal,CCC(C)C1(CC=C)C(=O)NC(=O)NC1=O,-2.016,224.26
Fenitrothion,COP(=S)(OC)Oc1ccc(N(=O)=O)c(C)c1,-4.04,277.238
1-Iodonapthalene,Ic1cccc2ccccc12,-4.55,254.07000000000002
Sorbitol,OCC(O)C(O)C(O)C(O)CO,1.09,182.172
Ethanethiol,CCS,-0.6,62.137
"1,1,2-Trichloroethane",ClCC(Cl)Cl,-1.48,133.405
Pyrolan,CN(C)C(=O)Oc1cc(C)nn1c2ccccc2,-2.09,245.282
o-Hydroxybenzamide,NC(=O)c1ccccc1O,-1.82,137.13799999999998
o-Nitrotoluene,Cc1ccccc1N(=O)=O,-2.33,137.138
"5,5-Diisopropylbarbital",O=C1NC(=O)NC(=O)C1(C(C)C)C(C)C,-2.766,212.249
2-Ethyltoluene,CCc1ccccc1C,-3.21,120.19499999999996
1-Chloroheptane,CCCCCCCCl,-4.0,134.65
Barbital,O=C1NC(=O)NC(=O)C1(CC)CC,-2.4,184.19499999999996
Bibenzyl,C(Cc1ccccc1)c2ccccc2,-4.62,182.266
"1,1,2,2-Tetrachloroethane",ClC(Cl)C(Cl)Cl,-1.74,167.85
RTI 23,CCN2c1cc(OC)cc(C)c1NC(=O)c3cccnc23,-5.153,283.331
2-Methylphenanthrene,Cc1ccc2c(ccc3ccccc32)c1,-5.84,192.261
dibutylphthalate,CCCCOC(=O)c1ccccc1C(=O)OCCCC,-4.4,278.348
tetrachloroguaiacol,COc1c(O)c(Cl)c(Cl)c(Cl)c1Cl,-4.02,261.919
Dimecron,CCN(CC)C(=O)C(=CCOP(=O)(OC)OC)Cl,0.523,299.6909999999999
Equilin,CC34CCC1C(=CCc2cc(O)ccc12)C3CCC4=O,-5.282,268.356
Chlorimuron-ethyl (ph 7),CCOC(=O)c1ccccc1S(=O)(=O)NN(C=O)c2nc(Cl)cc(OC)n2,-4.5760000000000005,414.82700000000017
p-Nitroanisole,COc1ccc(cc1)N(=O)=O,-2.41,153.13699999999997
1-Chlorohexane,CCCCCCCl,-3.12,120.623
"2,2',3,3',4,4',5,5'-PCB",Clc1cc(c(Cl)c(Cl)c1Cl)c2cc(Cl)c(Cl)c(Cl)c2Cl,-9.16,429.77200000000016
Raffinose,OCC1OC(CO)(OC2OC(COC3OC(CO)C(O)C(O)C3O)C(O)C(O)C2O)C(O)C1O,-0.41,504.43800000000005
hexacosane,CCCCCCCCCCCCCCCCCCCCCCCCCC,-8.334,366.7180000000002
RTI 5,CCN2c1ccccc1N(C)C(=O)c3cccnc23,-3.324,253.30499999999995
"1,1-Dichloroethane",CC(Cl)Cl,-1.29,98.96000000000001
Sulfanilamide,Nc1ccc(cc1)S(N)(=O)=O,-1.34,172.20899999999997
Isopropalin,CCCN(CCC)c1c(cc(cc1N(=O)=O)C(C)C)N(=O)=O,-6.49,309.36600000000004
Lindane,ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,-4.64,290.832
Isofenphos,CCOP(=S)(NC(C)C)Oc1ccccc1C(=O)OC(C)C,-4.194,345.4010000000002
"1,2,3-Trichlorobenzene",Clc1cccc(Cl)c1Cl,-4.0,181.44899999999998
Tetrachloromethane,ClC(Cl)(Cl)Cl,-2.31,153.823
"3,4-Dichloronitrobenzene",O=N(=O)c1cc(Cl)c(Cl)cc1,-3.2,192.001
Cyclooctanol,OC1CCCCCCC1,-1.29,128.215
17a-Methyltestosterone,CC1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C,-3.9989999999999997,302.4580000000001
Dulcin,CCOc1ccc(NC(N)=O)cc1,-2.17,180.20699999999997
"trans-1,4-Dimethylcyclohexane",C/C1CCC(\C)CC1,-4.47,112.216
"1,7-phenantroline",c1cnc2c(c1)ccc3ncccc23,-2.68,180.20999999999998
Methyl t-butyl ether,COC(C)(C)C,-0.24,88.14999999999999
Anethole,COc1ccc(C=CC)cc1,-3.13,148.20499999999998
1-Hexadecanol,CCCCCCCCCCCCCCCCO,-7.0,242.44699999999992
uracil,O=c1cc[nH]c(=O)[nH]1,-1.4880000000000002,112.088
